SelectVenue,TasteofFood,QualityofFood,ManuVariety,ValuefortheMoney,OrderAccuracy,SpeedofService,Ambiance,OverallSatisfaction,Recomendation
WeddingMarquee,Fair,Excellent,Fair,Fair,Fair,Excellent,Fair,Good,Probablyyes
TheSheratonMarquee,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Probablyyes
StarMarquee,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Good,Definitelyyes
RoyalPalmMarquee,Fair,Poor,Fair,Fair,Poor,Fair,Poor,Poor,Probablyno
KhayyamBanquetHall,Excellent,Excellent,Good,Excellent,Good,Good,Excellent,Excellent,Probablyyes
BandhanMarriageHall,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Definitelyyes
CrystalsBanquetHall,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Definitelyyes
WeddingMarquee,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Good,Definitelyyes
SevenSeasMarquee,Good,Excellent,Good,Good,Fair,Good,Excellent,Fair,Definitelyyes
PearlMarriageHall,Excellent,Good,Fair,Fair,Good,Excellent,Good,Good,Definitelyyes
StarMarquee,Fair,Good,Fair,Excellent,Good,Excellent,Good,Good,Probablyyes
RoyalPalaceMarquee,Fair,Good,Excellent,Excellent,Good,Fair,Good,Fair,Probablyyes
WeddingMarquee,Fair,Good,Excellent,Good,Fair,Good,Fair,Fair,Probablyyes
BandhanMarriageHall,Fair,Good,Good,Excellent,Fair,Excellent,Good,Excellent,Probablyyes
GulistanMarriageHall,Excellent,Good,Fair,Fair,Good,Excellent,Good,Good,Probablyyes
GulistanMarriageHall,Good,Good,Fair,Good,Good,Excellent,Excellent,Good,Probablyyes
KhayyamBanquetHall,Good,Poor,Fair,Fair,Fair,Good,Good,Fair,Probablyno
LaraibBanquet,Fair,Good,Excellent,Excellent,Good,Good,Fair,Fair,Definitelyyes
FaisalabadMarriageHall,Excellent,Good,Fair,Good,Fair,Good,Fair,Good,Probablyyes
CrystalsBanquetHall,Good,Fair,Fair,Poor,Poor,Good,Fair,Poor,Probablyno
CrystalsBanquetHall,Excellent,Good,Fair,Fair,Good,Excellent,Good,Good,Definitelyyes
RoyalPalaceMarquee,Excellent,Fair,Good,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Good,Definitelyyes
KoheToorMarquee,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Probablyyes
GulistanMarriageHall,Good,Good,Good,Excellent,Good,Excellent,Excellent,Excellent,Probablyyes
ParadiseGrandMarquee,Good,Fair,Good,Fair,Fair,Good,Fair,Fair,Probablyyes
KhayyamBanquetHall,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Good,Probablyyes
ParadiseGrandMarquee,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Good,Probablyyes
SevenSeasMarquee,Fair,Fair,Fair,Fair,Fair,Excellent,Fair,Fair,Probablyyes
TamaseelMarriageHall,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Probablyyes
FaisalabadMarriageHall,Fair,Good,Fair,Excellent,Good,Good,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Fair,Poor,Fair,Fair,Good,Good,Fair,Good,Probablyno
TheRoyalBanquet,Excellent,Good,Fair,Fair,Good,Excellent,Good,Good,Probablyyes
CrystalsBanquetHall,Fair,Poor,Fair,Poor,Fair,Fair,Good,Fair,Definitelyno
TamaseelMarriageHall,Fair,Poor,Fair,Good,Poor,Good,Fair,Poor,Probablyno
PearlMarriageHall,Good,Excellent,Good,Excellent,Fair,Excellent,Good,Fair,Probablyyes
PearlMarriageHall,Excellent,Good,Fair,Excellent,Fair,Good,Fair,Good,Probablyyes
CrystalsBanquetHall,Excellent,Good,Fair,Fair,Good,Good,Excellent,Good,Probablyyes
CrystalsBanquetHall,Excellent,Good,Fair,Fair,Good,Good,Excellent,Good,Definitelyyes
SevenSeasMarquee,Excellent,Good,Good,Excellent,Fair,Excellent,Good,Excellent,Probablyyes
FaisalabadMarriageHall,Excellent,Good,Fair,Fair,Good,Excellent,Good,Good,Probablyyes
GulistanMarriageHall,Good,Excellent,Good,Excellent,Fair,Excellent,Good,Fair,Probablyyes
LaraibBanquet,Fair,Fair,Fair,Good,Good,Good,Good,Fair,Probablyyes
CrownPalaceMarquee,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
BandhanMarriageHall,Good,Fair,Good,Fair,Good,Excellent,Good,Fair,Probablyyes
KhayyamBanquetHall,Good,Poor,Fair,Excellent,Fair,Good,Fair,Fair,Probablyyes
TheCastleMarquee,Fair,Good,Excellent,Good,Fair,Good,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Excellent,Fair,Excellent,Fair,Good,Fair,Excellent,Definitelyyes
CrystalsBanquetHall,Fair,Good,Good,Good,Excellent,Good,Excellent,Excellent,Definitelyyes
StarMarquee,Fair,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Definitelyyes
KoheToorMarquee,Excellent,Fair,Good,Good,Fair,Excellent,Fair,Good,Probablyyes
FaisalabadMarriageHall,Fair,Good,Fair,Good,Poor,Good,Fair,Fair,Probablyno
RoyalPalmMarquee,Fair,Excellent,Good,Fair,Good,Good,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Fair,Poor,Poor,Good,Poor,Good,Fair,Poor,Definitelyno
QuilimMarquee,Good,Excellent,Good,Good,Fair,Good,Excellent,Fair,Probablyyes
CrystalsBanquetHall,Good,Excellent,Good,Good,Fair,Good,Excellent,Fair,Probablyyes
LayalpurMarquee,Good,Fair,Poor,Poor,Fair,Good,Fair,Fair,Probablyno
VictoriaMarquee,Excellent,Good,Fair,Fair,Good,Excellent,Good,Excellent,Definitelyyes
TheRoyalBanquet,Poor,Fair,Good,Good,Fair,Fair,Poor,Fair,Probablyno
TheRoyalBanquet,Fair,Good,Good,Good,Fair,Good,Excellent,Fair,Probablyyes
LayalpurMarquee,Fair,Poor,Fair,Good,Good,Fair,Good,Good,Probablyno
GulistanMarriageHall,Fair,Good,Fair,Fair,Poor,Fair,Good,Poor,Definitelyno
RoyalPalmMarquee,Fair,Good,Fair,Excellent,Good,Good,Fair,Good,Definitelyyes
CrownPalaceMarquee,Good,Poor,Fair,Good,Poor,Good,Fair,Poor,Definitelyno
TheCastleMarquee,Fair,Good,Fair,Good,Fair,Fair,Poor,Good,Probablyyes
PearlMarriageHall,Poor,Fair,Fair,Good,Fair,Poor,Fair,Fair,Probablyno
RoyalPalmMarquee,Good,Fair,Poor,Poor,Fair,Good,Fair,Fair,Probablyno
TheSheratonMarquee,Fair,Good,Fair,Good,Fair,Good,Excellent,Good,Probablyyes
TheSheratonMarquee,Good,Good,Fair,Good,Excellent,Good,Fair,Good,Definitelyyes
ParadiseGrandMarquee,Good,Poor,Fair,Poor,Fair,Good,Fair,Poor,Definitelyno
WeddingMarquee,Good,Excellent,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
FaisalabadMarriageHall,Good,Fair,Good,Excellent,Excellent,Good,Fair,Excellent,Definitelyyes
PearlMarriageHall,Fair,Poor,Fair,Fair,Good,Good,Fair,Fair,Probablyyes
RoyalPalmMarquee,Fair,Fair,Good,Fair,Good,Fair,Good,Fair,Probablyno
RoyalPalmMarquee,Fair,Good,Excellent,Excellent,Good,Good,Fair,Good,Definitelyyes
RoyalPalmMarquee,Good,Excellent,Good,Fair,Fair,Excellent,Good,Good,Definitelyyes
TamaseelMarriageHall,Fair,Good,Good,Good,Good,Excellent,Good,Excellent,Definitelyyes
TheCastleMarquee,Excellent,Good,Good,Fair,Good,Excellent,Good,Excellent,Definitelyyes
TheCastleMarquee,Excellent,Good,Fair,Good,Good,Good,Excellent,Good,Definitelyyes
TheCastleMarquee,Good,Fair,Fair,Fair,Fair,Poor,Poor,Poor,Definitelyno
TheCastleMarquee,Poor,Poor,Fair,Good,Fair,Fair,Fair,Fair,Probablyno
KoheToorMarquee,Fair,Good,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
JumeirahPalace,Fair,Good,Excellent,Excellent,Good,Excellent,Good,Good,Probablyyes
WeddingMarquee,Excellent,Good,Excellent,Good,Fair,Good,Excellent,Good,Definitelyyes
FaisalabadMarriageHall,Good,Good,Excellent,Fair,Fair,Excellent,Good,Excellent,Definitelyyes
TheRoyalBanquet,Good,Excellent,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Fair,Fair,Good,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Good,Fair,Good,Excellent,Good,Fair,Probablyyes
JumeirahPalace,Good,Excellent,Good,Fair,Good,Excellent,Good,Excellent,Definitelyyes
LaraibBanquet,Fair,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
WeddingMarquee,Fair,Good,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Excellent,Good,Fair,Fair,Fair,Excellent,Good,Good,Probablyyes
JumeirahPalace,Poor,Poor,Fair,Good,Fair,Poor,Fair,Poor,Definitelyno
RoyalPalmMarquee,Fair,Poor,Good,Good,Good,Good,Fair,Fair,Probablyno
JumeirahPalace,Fair,Good,Excellent,Excellent,Good,Good,Fair,Good,Probablyyes
WeddingMarquee,Fair,Good,Poor,Fair,Poor,Fair,Good,Fair,Definitelyno
LayalpurMarquee,Good,Good,Excellent,Good,Excellent,Excellent,Good,Good,Definitelyyes
TheRoyalBanquet,Poor,Fair,Poor,Fair,Poor,Good,Fair,Poor,Definitelyno
QuilimMarquee,Good,Fair,Excellent,Good,Good,Good,Good,Good,Definitelyyes
FaisalabadMarriageHall,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
CrownPalaceMarquee,Fair,Fair,Poor,Fair,Excellent,Good,Good,Fair,Probablyno
KhayyamBanquetHall,Excellent,Good,Excellent,Excellent,Fair,Excellent,Excellent,Excellent,Probablyyes
FaisalabadMarriageHall,Excellent,Excellent,Good,Good,Good,Fair,Fair,Good,Probablyno
TheRoyalBanquet,Excellent,Excellent,Fair,Excellent,Excellent,Excellent,Fair,Fair,Probablyyes
TheRoyalBanquet,Fair,Poor,Fair,Fair,Good,Good,Good,Fair,Probablyno
CrystalsBanquetHall,Excellent,Excellent,Fair,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
KoheToorMarquee,Good,Good,Poor,Good,Fair,Fair,Fair,Fair,Probablyno
ParadiseGrandMarquee,Fair,Good,Fair,Fair,Poor,Poor,Poor,Poor,Definitelyno
FaisalabadMarriageHall,Excellent,Excellent,Fair,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Fair,Good,Poor,Fair,Fair,Fair,Probablyno
BandhanMarriageHall,Good,Good,Excellent,Fair,Fair,Good,Good,Good,Probablyyes
GulistanMarriageHall,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Probablyyes
KhayyamBanquetHall,Excellent,Excellent,Good,Excellent,Excellent,Good,Good,Good,Probablyyes
LaraibBanquet,Good,Good,Fair,Good,Poor,Fair,Fair,Poor,Definitelyno
BandhanMarriageHall,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
CrystalsBanquetHall,Good,Poor,Poor,Fair,Fair,Good,Good,Fair,Probablyno
GulistanMarriageHall,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
FaisalabadMarriageHall,Good,Excellent,Fair,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
QuilimMarquee,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
KoheToorMarquee,Good,Fair,Fair,Fair,Fair,Good,Good,Fair,Probablyno
TamaseelMarriageHall,Good,Good,Fair,Good,Excellent,Excellent,Excellent,Excellent,Probablyyes
JumeirahPalace,Fair,Fair,Good,Fair,Good,Good,Good,Fair,Probablyno
PearlMarriageHall,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Excellent,Definitelyyes
SevenSeasMarquee,Good,Good,Fair,Fair,Good,Excellent,Excellent,Excellent,Probablyyes
TamaseelMarriageHall,Fair,Fair,Good,Fair,Poor,Fair,Good,Fair,Probablyno
PearlMarriageHall,Good,Good,Fair,Fair,Fair,Fair,Poor,Fair,Definitelyno
FaisalabadMarriageHall,Fair,Good,Excellent,Good,Fair,Good,Good,Good,Probablyyes
TheRoyalBanquet,Good,Excellent,Good,Fair,Good,Good,Fair,Fair,Probablyno
TamaseelMarriageHall,Fair,Fair,Good,Fair,Poor,Excellent,Good,Fair,Probablyno
TheRoyalBanquet,Fair,Poor,Good,Good,Poor,Good,Fair,Fair,Probablyno
TamaseelMarriageHall,Good,Good,Excellent,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
VictoriaMarquee,Excellent,Excellent,Excellent,Good,Fair,Fair,Fair,Fair,Probablyno
ParadiseGrandMarquee,Good,Good,Good,Fair,Good,Excellent,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Fair,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
BandhanMarriageHall,Poor,Fair,Fair,Fair,Poor,Good,Fair,Poor,Definitelyno
GulistanMarriageHall,Excellent,Excellent,Excellent,Good,Fair,Excellent,Excellent,Good,Probablyyes
TamaseelMarriageHall,Fair,Poor,Good,Fair,Good,Good,Good,Fair,Probablyno
VictoriaMarquee,Fair,Good,Good,Good,Good,Fair,Fair,Fair,Probablyno
CrystalsBanquetHall,Good,Excellent,Good,Good,Good,Excellent,Good,Good,Definitelyyes
TheSheratonMarquee,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Probablyyes
KoheToorMarquee,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Good,Excellent,Excellent,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
KhayyamBanquetHall,Excellent,Excellent,Good,Good,Fair,Excellent,Excellent,Excellent,Probablyyes
WeddingMarquee,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Definitelyyes
JumeirahPalace,Good,Excellent,Fair,Good,Fair,Excellent,Excellent,Good,Probablyyes
TheCastleMarquee,Fair,Excellent,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
VictoriaMarquee,Fair,Good,Good,Fair,Good,Excellent,Good,Good,Probablyyes
WeddingMarquee,Good,Excellent,Excellent,Good,Excellent,Fair,Fair,Good,Probablyno
FaisalabadMarriageHall,Good,Excellent,Excellent,Excellent,Good,Fair,Good,Good,Probablyyes
TheRoyalBanquet,Good,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
JumeirahPalace,Good,Good,Good,Good,Fair,Fair,Fair,Good,Probablyyes
SevenSeasMarquee,Good,Excellent,Excellent,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
TheRoyalBanquet,Excellent,Excellent,Fair,Good,Good,Excellent,Excellent,Excellent,Definitelyyes
VictoriaMarquee,Fair,Good,Excellent,Fair,Good,Excellent,Good,Good,Probablyyes
CrownPalaceMarquee,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Probablyyes
ParadiseGrandMarquee,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Good,Excellent,Excellent,Fair,Good,Excellent,Good,Good,Definitelyyes
CrystalsBanquetHall,Good,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
TheCastleMarquee,Good,Good,Excellent,Excellent,Fair,Excellent,Excellent,Excellent,Probablyyes
KhayyamBanquetHall,Good,Fair,Good,Good,Fair,Good,Good,Good,Probablyyes
VictoriaMarquee,Fair,Excellent,Excellent,Fair,Good,Good,Excellent,Excellent,Definitelyyes
LayalpurMarquee,Good,Excellent,Good,Good,Fair,Good,Excellent,Good,Probablyyes
WeddingMarquee,Good,Good,Good,Poor,Fair,Good,Good,Good,Probablyyes
TheRoyalBanquet,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Definitelyyes
TheRoyalBanquet,Fair,Good,Good,Good,Good,Excellent,Excellent,Good,Probablyyes
FaisalabadMarriageHall,Good,Good,Fair,Fair,Fair,Excellent,Excellent,Good,Probablyyes
PearlMarriageHall,Good,Fair,Excellent,Good,Good,Excellent,Excellent,Good,Probablyyes
JumeirahPalace,Good,Fair,Good,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
QuilimMarquee,Good,Excellent,Good,Excellent,Fair,Good,Good,Good,Probablyyes
CrownPalaceMarquee,Good,Good,Excellent,Fair,Fair,Excellent,Good,Good,Definitelyyes
VictoriaMarquee,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Probablyyes
JumeirahPalace,Good,Good,Excellent,Fair,Fair,Good,Good,Good,Probablyyes
ParadiseGrandMarquee,Excellent,Excellent,Excellent,Fair,Poor,Excellent,Excellent,Excellent,Probablyyes
PearlMarriageHall,Excellent,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
KoheToorMarquee,Good,Fair,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
WeddingMarquee,Good,Good,Fair,Fair,Fair,Good,Good,Good,Probablyyes
TheSheratonMarquee,Poor,Fair,Fair,Good,Poor,Good,Fair,Fair,Definitelyno
FaisalabadMarriageHall,Excellent,Fair,Good,Fair,Good,Excellent,Good,Excellent,Definitelyyes
VictoriaMarquee,Good,Good,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
ParadiseGrandMarquee,Good,Fair,Good,Good,Fair,Excellent,Good,Good,Probablyyes
KhayyamBanquetHall,Good,Excellent,Good,Fair,Good,Excellent,Good,Good,Probablyyes
BandhanMarriageHall,Good,Fair,Good,Fair,Good,Excellent,Good,Good,Probablyyes
CrystalsBanquetHall,Good,Good,Excellent,Fair,Fair,Excellent,Good,Excellent,Definitelyyes
TheCastleMarquee,Good,Fair,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
WeddingMarquee,Fair,Good,Excellent,Good,Fair,Excellent,Excellent,Excellent,Definitelyyes
StarMarquee,Good,Fair,Good,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Good,Excellent,Good,Excellent,Good,Excellent,Good,Excellent,Definitelyyes
WeddingMarquee,Good,Fair,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
LayalpurMarquee,Good,Fair,Excellent,Good,Excellent,Excellent,Good,Excellent,Definitelyyes
BandhanMarriageHall,Fair,Poor,Good,Fair,Good,Excellent,Good,Good,Probablyyes
GulistanMarriageHall,Good,Fair,Good,Fair,Fair,Good,Good,Good,Probablyyes
KhayyamBanquetHall,Fair,Good,Good,Fair,Good,Excellent,Good,Excellent,Definitelyyes
GulistanMarriageHall,Fair,Good,Excellent,Fair,Good,Excellent,Good,Excellent,Definitelyyes
GulistanMarriageHall,Fair,Good,Excellent,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
PearlMarriageHall,Good,Good,Excellent,Good,Fair,Excellent,Good,Excellent,Definitelyyes
CrystalsBanquetHall,Good,Fair,Excellent,Excellent,Fair,Excellent,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Fair,Fair,Fair,Good,Good,Good,Good,Fair,Probablyyes
GulistanMarriageHall,Good,Excellent,Fair,Fair,Fair,Good,Good,Good,Probablyyes
ParadiseGrandMarquee,Good,Good,Good,Good,Good,Fair,Excellent,Excellent,Definitelyyes
TheSheratonMarquee,Excellent,Good,Good,Fair,Fair,Good,Good,Excellent,Probablyyes
SevenSeasMarquee,Good,Excellent,Excellent,Good,Fair,Good,Good,Good,Probablyyes
TamaseelMarriageHall,Excellent,Good,Excellent,Excellent,Excellent,Good,Good,Good,Definitelyyes
ParadiseGrandMarquee,Fair,Fair,Good,Good,Fair,Poor,Fair,Fair,Probablyyes
CrystalsBanquetHall,Good,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Probablyyes
TamaseelMarriageHall,Fair,Good,Good,Good,Good,Fair,Fair,Good,Probablyyes
PearlMarriageHall,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Probablyyes
CrystalsBanquetHall,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Probablyyes
CrystalsBanquetHall,Fair,Fair,Good,Good,Excellent,Good,Fair,Good,Probablyyes
GulistanMarriageHall,Good,Good,Good,Good,Good,Fair,Good,Good,Definitelyyes
LaraibBanquet,Fair,Excellent,Good,Good,Excellent,Good,Excellent,Good,Probablyyes
CrownPalaceMarquee,Fair,Poor,Excellent,Excellent,Good,Good,Fair,Poor,Definitelyyes
BandhanMarriageHall,Good,Excellent,Excellent,Good,Fair,Poor,Fair,Good,Probablyyes
KhayyamBanquetHall,Good,Excellent,Excellent,Good,Fair,Poor,Fair,Good,Definitelyyes
TheCastleMarquee,Excellent,Excellent,Fair,Excellent,Good,Good,Fair,Fair,Probablyyes
JumeirahPalace,Excellent,Fair,Excellent,Fair,Fair,Fair,Fair,Good,Probablyyes
StarMarquee,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Definitelyyes
PearlMarriageHall,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,Probablyyes
KoheToorMarquee,Poor,Fair,Fair,Poor,Fair,Poor,Fair,Poor,Probablyno
RoyalPalmMarquee,Excellent,Good,Good,Excellent,Good,Excellent,Good,Excellent,Probablyyes
QuilimMarquee,Excellent,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Probablyyes
CrystalsBanquetHall,Excellent,Good,Excellent,Excellent,Good,Good,Excellent,Good,Definitelyyes
LayalpurMarquee,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Definitelyyes
VictoriaMarquee,Excellent,Good,Good,Excellent,Good,Fair,Good,Fair,Definitelyyes
CrystalsBanquetHall,Good,Fair,Excellent,Good,Excellent,Good,Fair,Good,Probablyyes
TheRoyalBanquet,Good,Excellent,Fair,Good,Excellent,Good,Fair,Fair,Probablyyes
QuilimMarquee,Good,Good,Excellent,Good,Excellent,Fair,Fair,Excellent,Probablyyes
LayalpurMarquee,Good,Fair,Excellent,Good,Fair,Good,Excellent,Good,Probablyyes
TheSheratonMarquee,Good,Fair,Excellent,Excellent,Good,Good,Good,Good,Probablyyes
KhayyamBanquetHall,Poor,Fair,Good,Good,Fair,Fair,Good,Fair,Probablyno
RoyalPalmMarquee,Good,Excellent,Good,Fair,Excellent,Good,Fair,Fair,Definitelyyes
LayalpurMarquee,Good,Fair,Good,Fair,Good,Fair,Excellent,Good,Probablyyes
CrownPalaceMarquee,Fair,Fair,Good,Fair,Poor,Poor,Good,Poor,Probablyno
ParadiseGrandMarquee,Good,Fair,Good,Excellent,Fair,Good,Excellent,Excellent,Definitelyyes
TheCastleMarquee,Fair,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Definitelyyes
RoyalPalmMarquee,Excellent,Fair,Good,Excellent,Good,Excellent,Good,Good,Definitelyyes
RoyalPalmMarquee,Fair,Good,Good,Fair,Fair,Fair,Good,Fair,Probablyyes
TheSheratonMarquee,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,Good,Probablyyes
ParadiseGrandMarquee,Fair,Fair,Excellent,Fair,Fair,Fair,Fair,Fair,Probablyyes
PearlMarriageHall,Good,Excellent,Excellent,Good,Fair,Good,Excellent,Good,Definitelyyes
RoyalPalmMarquee,Poor,Fair,Fair,Good,Poor,Fair,Fair,Fair,Definitelyno
TheRoyalBanquet,Poor,Fair,Good,Fair,Good,Poor,Fair,Poor,Probablyno
TamaseelMarriageHall,Excellent,Good,Excellent,Good,Excellent,Fair,Good,Fair,Probablyyes
TheCastleMarquee,Good,Fair,Good,Fair,Excellent,Fair,Excellent,Good,Probablyyes
TheCastleMarquee,Good,Good,Excellent,Good,Excellent,Fair,Excellent,Excellent,Probablyyes
LayalpurMarquee,Excellent,Good,Excellent,Good,Excellent,Fair,Good,Fair,Probablyyes
ParadiseGrandMarquee,Fair,Fair,Good,Good,Good,Good,Fair,Fair,Probablyyes
JumeirahPalace,Fair,Good,Excellent,Good,Fair,Good,Good,Fair,Probablyyes
WeddingMarquee,Poor,Fair,Good,Fair,Excellent,Fair,Good,Fair,Probablyyes
TheRoyalBanquet,Excellent,Fair,Good,Fair,Excellent,Fair,Good,Excellent,Definitelyyes
RoyalPalaceMarquee,Good,Good,Good,Excellent,Good,Excellent,Fair,Excellent,Definitelyyes
JumeirahPalace,Excellent,Excellent,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
LaraibBanquet,Fair,Good,Excellent,Fair,Good,Fair,Excellent,Good,Probablyyes
WeddingMarquee,Good,Fair,Good,Fair,Good,Poor,Fair,Fair,Probablyno
KhayyamBanquetHall,Excellent,Good,Good,Excellent,Fair,Good,Fair,Excellent,Definitelyyes
JumeirahPalace,Poor,Poor,Good,Fair,Good,Poor,Fair,Poor,Definitelyno
JumeirahPalace,Excellent,Good,Good,Excellent,Good,Fair,Good,Fair,Probablyyes
WeddingMarquee,Fair,Poor,Good,Fair,Poor,Fair,Good,Fair,Probablyno
FaisalabadMarriageHall,Good,Fair,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
LayalpurMarquee,Fair,Fair,Excellent,Good,Fair,Good,Good,Good,Probablyyes
TheRoyalBanquet,Fair,Good,Fair,Poor,Good,Fair,Poor,Fair,Probablyno
PearlMarriageHall,Good,Good,Good,Excellent,Good,Fair,Fair,Fair,Probablyyes
TheRoyalBanquet,Poor,Fair,Fair,Good,Good,Good,Fair,Good,Probablyno
QuilimMarquee,Good,Fair,Fair,Good,Fair,Poor,Fair,Poor,Definitelyno
PearlMarriageHall,Excellent,Good,Excellent,Good,Excellent,Fair,Good,Excellent,Definitelyyes
BandhanMarriageHall,Good,Fair,Good,Fair,Excellent,Good,Fair,Good,Definitelyyes
TheSheratonMarquee,Poor,Fair,Good,Fair,Good,Poor,Good,Poor,Definitelyno
CrownPalaceMarquee,Good,Fair,Fair,Poor,Good,Fair,Fair,Good,Probablyyes
PearlMarriageHall,Good,Fair,Good,Excellent,Good,Fair,Fair,Good,Probablyyes
LayalpurMarquee,Poor,Fair,Good,Fair,Poor,Fair,Good,Poor,Definitelyno
KhayyamBanquetHall,Excellent,Excellent,Excellent,Good,Good,Fair,Good,Excellent,Definitelyyes
FaisalabadMarriageHall,Fair,Good,Good,Fair,Excellent,Excellent,Good,Excellent,Definitelyyes
JumeirahPalace,Poor,Fair,Fair,Good,Good,Fair,Poor,Poor,Definitelyno
TheRoyalBanquet,Fair,Good,Fair,Good,Fair,Good,Fair,Fair,Probablyno
GulistanMarriageHall,Good,Excellent,Good,Fair,Excellent,Good,Fair,Good,Definitelyyes
KoheToorMarquee,Good,Good,Excellent,Good,Good,Good,Fair,Excellent,Definitelyyes
FaisalabadMarriageHall,Good,Good,Excellent,Good,Fair,Good,Excellent,Excellent,Definitelyyes
TamaseelMarriageHall,Good,Excellent,Good,Excellent,Good,Good,Fair,Excellent,Definitelyyes
PearlMarriageHall,Good,Excellent,Excellent,Good,Excellent,Good,Fair,Good,Definitelyyes
BandhanMarriageHall,Fair,Good,Fair,Good,Good,Fair,Good,Good,Probablyyes
GulistanMarriageHall,Good,Excellent,Excellent,Good,Excellent,Good,Fair,Good,Probablyyes
KhayyamBanquetHall,Good,Excellent,Good,Excellent,Good,Fair,Excellent,Good,Definitelyyes
JumeirahPalace,Good,Excellent,Excellent,Good,Fair,Fair,Good,Excellent,Definitelyyes
